Kloeke;pronomen;predicaat;category;source
K005p;jij;ben;jij_bent;
K012p;jij;bin;jij_bent;
K023p;jij;ben;jij_bent;
K039p;jij;ben;jij_bent;
K080p;gij;zij;gij_zijt;
K096p;jij;ben;jij_bent;
"K096p	";jij;ben;jij_bent;
K124a;gij;bent;gij_bent;
K124a;gij;ben;gij_bent;
K124p;jij;ben;jij_bent;
K124p;gij;zijt;gij_zijt;
K131p;gij;zijt;gij_zijt;
K147p;gij;zijt;gij_zijt;
K147p;ge;zijt;gij_zijt;
K152p;jij;ben;jij_bent;
K182p;gij;ben;gij_bent;
K182p;ge;bent;gij_bent;
K183p;gij;zijt;gij_zijt;
K189b;gij;zijt;gij_zijt;
K190p;gij;zijt;gij_zijt;
K192p;ge;zijt;gij_zijt;
K211p;gij;zijt;gij_zijt;
K211p;ge;zijt;gij_zijt;
K221p;gij;zijt;gij_zijt;
K229p;gij;zijt;gij_zijt;
K229p;gij;zijt;gij_zijt;
K235p;gij;zij;gij_zijt;
K235p;gij;zij;gij_zijt;
K240p;gaai;zijt;gij_zijt;
K240p;gaai;zij;gij_zijt;
K244p;chij;zijt;gij_zijt;
K244p;gij;zijt;gij_zijt;
K258p;gij;zij;gij_zijt;
K258p;gij;zijt;gij_zijt;
K274a;gij;zijt;gij_zijt;
K274a;gij;zij;gij_zijt;
K276p;gij;zijt;gij_zijt;
K276p;gij;zijt;gij_zijt;
K278p;gij;zijt;gij_zijt;
K291p;gij;zijt;gij_zijt;
K309p;gij;zijt;gij_zijt;
K309p;gij;zij;gij_zijt;
K330p;gij;zijt;gij_zijt;
K339p;gij;zijt;gij_zijt;
K339p;gij;zijt;gij_zijt;
K349a;gij;zet;gij_zijt;
K353p;gij;zijt;gij_zijt;
K353p;gij;zijt;gij_zijt;
L034p;jij;ben;jij_bent;
L034p;gij;bent;gij_bent;
L037p;ij;bunt;jij_bent;
L038p;gij;bun;gij_bent;
L038p;gie;bun;gij_bent;
L054p;gij;zei;gij_zijt;
L054p;ge;zij;gij_zijt;
L071p;jij;ben;jij_bent;
L071p;jij;ben;jij_bent;
L119p;gie;zin;gij_zijt;
L119p;gij;ziet;gij_zijt;
L144p;ge;zet;gij_zijt;
L151a;gij;bent;gij_bent;
L153p;gij;bent;gij_bent;
L153p;ge;bent;gij_bent;
L159p;gij;bent;gij_bent;
L159p;gij;bent;gij_bent;
L179p;ge;bent;gij_bent;
L180b;ge;bent;gij_bent;
L180b;ge;bent;gij_bent;
L199p;je;bent;je_bent;
L199p;ge;bent;ge_bent;
L200p;ge;bent;ge_bent;
L203p;gaj;beent;ge_bent;
L207p;gij;bent;ge_bent;
L207p;gij;bent;ge_bent;
L208p;gaai;bent;ge_bent;
L237p;gaai;bent;ge_bent;
L243a;ge;bint;ge_bent;
L245p;hij;is;hij_is;
L245p;gij;ziet;gij_zijt;
L250p;dich;bis;du_bist;
L255p;gij;bent;gij_bent;
L255p;ge;bent;gij_bent;
L259p;ge;bent;gij_bent;
L263p;gij;bent;gij_bent;
L263p;gij;bent;gij_bent;
L267p;ei;is;hij_is;
L267p;du;bis;du_bist;
L270p;du;bis;du_bist;
L270p;du;ben;du_bist;
L286p;gij;zijt;gij_zijt;
L286p;ge;zijt;gij_zijt;
L290p;du;bis;du_bist;
L290p;du;bis;du_bist;
L295p;do;bös;du_bist;
L300p;du;bis;du_bist;
L318b;dich;bis;du_bist;
L353p;gij;zet;gij_zijt;
L353p;ge;zet;gij_zijt;
L360p;dich;bis;du_bist;
L360p;du;bis;du_bist;
L372p;de;bis;du_bist;
L377p;se;bis;se_bis;
L416p;dich;bis;du_bist;
L416p;dich;bis;du_bist;
L423p;dich;bes;du_bist;
M009p;die;ben;du_bent;
M043p;die;bint;du_bent;
N015p;jgie;zijn;gij_zijt;
N031p;jgie;zijt;gij_zijt;
N034p;en;is;en_is;
N038p;jgie;zijt;gij_zijt;
N132p;jgie;zijt;gij_zijt;
N141p;jgie;zijt;gij_zijt;
N141p;je;zijt;jij_zijt;
O014p;gij;zijt;gij_zijt;
O022p;gij;zijt;gij_zijt;
O056p;gij;zijt;gij_zijt;
O061p;gij;zijt;gij_zijt;
O062p;ge;zei;gij_zijt;
O097p;gij;zijt;gij_zijt;
O104p;gij;zijt;gij_zijt;
O133p;gij;zijt;gij_zijt;
O152p;gij;zijt;gij_zijt;
O228p;gij;zijt;gij_zijt;
O257p;gij;zijt;gij_zijt;
O265p;gij;zijt;gij_zijt;
O275p;gaa;zijt;gij_zijt;
O286p;gaa;zijt;gij_zijt;
P002p;gaa;zijt;gij_zijt;
P018p;gij;zeit;gij_zijt;
P022p;ge;zijt;gij_zijt;
P051p;gij;zijt;gij_zijt;
P102p;gij;zijt;gij_zijt;
P112p;gij;zijt;gij_zijt;
P124a;gij;zet;gij_zijt;
P145p;gij;zijt;gij_zijt;
P176p;djie;zijt;gij_zijt;
P212p;dje;zijt;gij_zijt;
Q002p;jie;zet;gij_zijt;
Q002p;djie;zet;gij_zijt;
Q003p;dich;bis;du_bist;
Q036p;du;bis;du_bist;
Q036p;du;bis;du_bist;
Q086p;de;bis;du_bist;
